street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Morsegasse,16.0,21,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.39278792154977 48.26416139020631)
Favoritenstraße,22.0,4,,1897.0,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.370199450570897 48.19365714611948)
Hermesstraße,15.0,13,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.26953377325396 48.166537022484114)
Rathstraße,32.0,19,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1884-1918,POINT (16.304366396282184 48.250921364572875)
Pantzergasse,22.0,19,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.35443609247878 48.23547781397729)
Hetzendorfer Straße,68.0,12,,,,2.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,nach 1945,POINT (16.311821889033194 48.166544841561766)
Goldschlagstraße,161.0,14,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.305467479298812 48.19549362462604)
Eßlinger Hauptstraße,123.0,22,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.529444069584866 48.21326418096109)
Hadikgasse,96.0,14,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1860-1883,POINT (16.29934162520743 48.18922362545539)
Meidlinger Hauptstraße,68.0,12,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,nach 1945,POINT (16.32990720334318 48.176598310726895)
Gudrunstraße,166.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.366647784491214 48.17888384544412)
Liechtensteinstraße,57.0,9,,1875.0,Horvath Franz,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.357710581965282 48.223214406355154)
Weitmosergasse,94.0,10,,1925.0,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.351658110982335 48.16809617682507)
In der Klausen,12.0,23,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.244162775147235 48.1388334420913)
Seitenberggasse,26.0,16,,,,1.0,betriebliche Nutzung,12.-Gewerbebetriebe,1848 -1918,POINT (16.31278350103082 48.21718169134123)
Kuefsteingasse,52.0,14,,1895.0,"Ludwig Zatzka, Stadtbaumeister",4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.309014139762134 48.202362919120574)
Gersthofer Straße,10.0,18,,1903.0,,3.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.328386037699246 48.23281936753547)
Erlachgasse,113.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.37122385734958 48.17731501315272)
Hetzendorfer Straße,94.0,12,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.30813598961419 48.16744180254013)
Anna-Frauer-Gasse,6.0,18,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.337619328665408 48.2257467470311)
Halirschgasse,25.0,17,,,,4.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1848 -1918,POINT (16.315728062412553 48.224765767539864)
Fasangartengasse,101.0,13,Gebäudekomplex Invalidenheim,1908.0,Bauabteilung des 2.K.u.K.Militärkorps,3.0,Wohnnutzung,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",1884-1918,POINT (16.297409043373417 48.17247708477176)
Tivoligasse,21.0,12,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.32637599975767 48.17999284367273)
Maxingstraße,60.0,13,,,,4.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.297920303016326 48.17707767465461)
Bandgasse,32.0,7,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.34611777182776 48.2036333690836)
Matznergasse,10.0,14,,,,4.0,betriebliche Nutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.304231063656857 48.1948270689073)
Kalvarienberggasse,57.0,17,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.33462116659118 48.222116103888666)
Kalvarienberggasse,68.0,17,,,,5.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.335635094363703 48.2225393326206)
