addr_street,addr_number,addr_building,addr_letter,addr_district,comm_type,comm_num,comm_room_num,data_series,data_buildingdate,data_reconstructiondate,data_buildingarea,data_livingarea,data_nonolivingarea,data_stairs,data_storeys,data_residents,data_mansardarea,eng_heatingcentral,eng_heatingauto,eng_heatingfire,eng_hotwater,eng_hotwatergas,eng_hotwaterwood,eng_electro,eng_gascentral,eng_gasnoncentral,eng_refusechute,flat_type,flat_num,flat_room_num,internal_num,lift_exploitfromdate,lift_reconstructiondate,lift_repairdate,outclean_all,param_crdate,param_ukname,param_failure,repair_year,repair_job,rfc_shaftcount,roof_metalarea,seng_liftcount,seng_pzu,special_basementarea,number,address,coordinates
Киевская ул.,24/22,,А,Московский,"2 комн., 3 комн., 5 комн., 6 комн.","3, 18, 1, 1","6, 54, 5, 6",Индивидуальный,1930,,6335.5,4654.0,987.5,11,5,302,,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","1, 32, 25","1, 64, 75",7,,,,5400.0,02.02.2011,"ООО ""Жилкомсервис № 1 Московского района""",0.0,2007; 2008; 2008; 2014; 2015; 2015,Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения,,2108.0,,11,978.0,1,"г.Санкт-Петербург, Киевская улица, дом 24/22, литера А","59.903573417,30.32885093"
Лесной пр.,39,1-3,А,Выборгский,"2 комн., 3 комн., 4 комн., 5 комн.","11, 29, 18, 2","22, 87, 72, 10",индивидуальный,1932,,10793.1,9291.2,481.7,15,5,575,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн., 5 комн.","50, 29, 5, 2","100, 87, 20, 10",1,,,,3076.0,05.03.2009,"ООО ""Жилкомсервис № 1 Выборгского района""",0.0,2005; 2011; 2017; 2018,Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы отопления,,3091.0,,6,761.0,2,"г.Санкт-Петербург, Лесной проспект, дом 39, корпус 1, литера А","59.981339024,30.344940571"
Новочеркасский пр.,41/14,,A,Красногвардейский,"2 комн., 3 комн., 5 комн., 6 комн., 7 комн.","5, 8, 4, 2, 1","10, 24, 20, 12, 7",индивидуальный,1957,,13817.8,10613.5,898.6,5,7,387,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,1,"2 комн., 3 комн., 5 комн.","69, 54, 2","138, 162, 10",,1981,2003.2004,,7675.0,05.03.2009,"ТСЖ ""Лира""",0.0,2002; 2003; 2004; 2006; 2006; 2008; 2010; 2013,Ремонт трубопровода (розлива) теплоснабжения в подвальном помещении; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт трубопровода (розлива) канализации в подвальнгом помещении; Ремонт трубопровода (розлива0)холодного водоснабжения в подвальном помещении; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт фасадов без утепления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов,17,3150.0,5,5,391.0,3,"г.Санкт-Петербург, Новочеркасский проспект, дом 41/14, литера А","59.92930475,30.410388758"
Полярников ул.,12,,Б,Невский,"2 комн., 3 комн., 4 комн.","1, 6, 8","2, 18, 32",инд,1951,,6376.6,4734.79,209.5,5,6,250,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","4, 34, 14, 10","4, 68, 42, 40",,,,,3818.0,07.02.2013,"ООО ""Жилкомсервис № 2 Невского района""",0.0,2007; 2007; 2012,Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш,,1579.0,5,5,444.0,4,"г.Санкт-Петербург, улица Полярников, дом 12, литера Б","59.875888506,30.436156571"
Ж. Егоровой ул.,10,1,А,Выборгский,"2 комн., 3 комн.","8, 13","16, 39",1 ЛГ 606,1985,,15142.1,14039.5,0.0,7,9,713,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","49, 70, 96, 8","49, 140, 288, 32",,1985,,,9072.0,07.12.2008,"ООО ""Жилкомсервис № 1 Выборгского района""",0.0,1996; 2011; 2012; 2012,Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения,7,,7,7,2262.0,5,"г.Санкт-Петербург, улица Жени Егоровой, дом 10, корпус 1, литера А","60.064144092,30.311062773"
Белы Куна ул.,19,2,А,Фрунзенский,"2 комн., 3 комн.","10, 16","20, 48",1-504-3,1967,,7591.1,6911.0,,7,5,426,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","94, 18, 1","188, 54, 4",,,,,5189.0,07.12.2008,"ООО ""Управляющая компания ""Гелема""",0.0,2006; 2006,Благоустройство придомовой территории; Ремонт и восстановление озеленения,,,,7,1679.0,6,"г.Санкт-Петербург, улица Белы Куна, дом 19, корпус 2, литера А","59.874917019,30.395502149"
Краснодонская ул.,9,,А,Красногвардейский,"2 комн., 3 комн.","2, 5","4, 15",Индивидуальный,1956,,4793.5,4329.5,,4,5,163,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","48, 15","96, 45",4,,,,3332.0,07.12.2008,"ООО ""Жилкомсервис №1 Красногвардейского района""",0.0,2008; 2008; 2011; 2011,Ремонт трубопровода (розлива)  горячего водоснабжения в подвальном помещении; Ремонт трубопровода (розлива) теплоснабжения в подвальном помещении; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления,,1539.0,,4,1230.0,7,"г.Санкт-Петербург, Краснодонская улица, дом 9, литера А","59.954745126,30.413336377"
Днепропетровская ул.,43,,А,Центральный,2 комн.,1,2,Индивидуальный,1916,,945.0,740.88,114.12,1,4,37,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","11, 1","22, 3",2,,,,1492.0,07.12.2008,"ООО ""Жилкомсервис № 2 Центрального района""",0.0,2001; 2011,Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления,,413.0,,1,,8,"г.Санкт-Петербург, Днепропетровская улица, дом 43, литера А","59.916082746,30.360935991"
Кирочная ул.,8,,А,Центральный,"3 комн., 5 комн., 6 комн., 7 комн.","1, 2, 2, 4","3, 10, 12, 30",инд.,1903,,11143.5,6418.5,3241.0,13,4,174,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","13, 22, 5, 7, 2, 1, 2","13, 44, 15, 28, 10, 6, 16",,1969,,,3266.0,08.02.2013,"ООО ""Жилкомсервис № 1 Центрального района""",0.0,2000; 2001; 2013; 2014; 2015; 2019; 2019; 2019; 2019,Ремонт конструкций и замена покрытий крыш; Ремонт подвальных помещений; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения,,4841.0,3,,734.0,9,"г.Санкт-Петербург, Кирочная улица, дом 8, литера А","59.944211945,30.352771346"
Кавалергардская ул.,30,,Б,Центральный,"2 комн., 3 комн., 4 комн.","2, 3, 2","4, 9, 8",Индивидуальный,1962,,7726.4,5907.4,831.0,3,7,249,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","1, 37, 31, 4","1, 74, 93, 16",,"2 ед.- 1992, 1 ед.- 1993 г.",,,2994.0,10.02.2012,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,1993; 2010; 2011,Капитальный ремонт лифтов (с заменой крупных узлов); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт конструкций и замена покрытий крыш,3,1619.0,3,3,543.0,10,"г.Санкт-Петербург, Кавалергардская улица, дом 30, литера Б","59.947337134,30.382367074"
Лесопарковая ул.,8,,А,Красногвардейский,3 комн.,2,6,Индивидуальный,1959,,714.1,655.1,,2,2,39,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","4, 4, 2","4, 8, 6",,,,,1403.0,10.02.2012,"ООО ""Жилкомсервис № 2 Красногвардейского района""",0.0,2018,Ремонт конструкций и замена покрытий крыш,,625.2,,2,,11,"г.Санкт-Петербург, Лесопарковая улица, дом 8, литера А","59.97077486,30.51111854"
